date,meal_type,weather,schedule,day_of_week,actual_demand
2025-06-01,breakfast,cloudy,holiday,sunday,41
2025-06-01,lunch,cloudy,holiday,sunday,49
2025-06-01,snacks,cloudy,holiday,sunday,22
2025-06-01,dinner,cloudy,holiday,sunday,65
2025-06-02,breakfast,cloudy,regular,monday,229
2025-06-02,lunch,cloudy,regular,monday,411
2025-06-02,snacks,cloudy,regular,monday,156
2025-06-02,dinner,cloudy,regular,monday,576
2025-06-03,breakfast,cloudy,regular,tuesday,221
2025-06-03,lunch,cloudy,regular,tuesday,404
2025-06-03,snacks,cloudy,regular,tuesday,163
2025-06-03,dinner,cloudy,regular,tuesday,550
2025-06-04,breakfast,cloudy,regular,wednesday,247
2025-06-04,lunch,cloudy,regular,wednesday,359
2025-06-04,snacks,cloudy,regular,wednesday,173
2025-06-04,dinner,cloudy,regular,wednesday,497
2025-06-05,breakfast,cloudy,regular,thursday,252
2025-06-05,lunch,cloudy,regular,thursday,448
2025-06-05,snacks,cloudy,regular,thursday,197
2025-06-05,dinner,cloudy,regular,thursday,558
2025-06-06,breakfast,cloudy,regular,friday,229
2025-06-06,lunch,cloudy,regular,friday,362
2025-06-06,snacks,cloudy,regular,friday,149
2025-06-06,dinner,cloudy,regular,friday,543
2025-06-07,breakfast,cloudy,weekend,saturday,165
2025-06-07,lunch,cloudy,weekend,saturday,220
2025-06-07,snacks,cloudy,weekend,saturday,108
2025-06-07,dinner,cloudy,weekend,saturday,366
2025-06-08,breakfast,cloudy,weekend,sunday,139
2025-06-08,lunch,cloudy,weekend,sunday,240
2025-06-08,snacks,cloudy,weekend,sunday,99
2025-06-08,dinner,cloudy,weekend,sunday,335
2025-06-09,breakfast,cloudy,regular,monday,246
2025-06-09,lunch,cloudy,regular,monday,409
2025-06-09,snacks,cloudy,regular,monday,174
2025-06-09,dinner,cloudy,regular,monday,586
2025-06-10,breakfast,rainy,regular,tuesday,196
2025-06-10,lunch,rainy,regular,tuesday,447
2025-06-10,snacks,rainy,regular,tuesday,139
2025-06-10,dinner,rainy,regular,tuesday,483
2025-06-11,breakfast,rainy,regular,wednesday,214
2025-06-11,lunch,rainy,regular,wednesday,404
2025-06-11,snacks,rainy,regular,wednesday,164
2025-06-11,dinner,rainy,regular,wednesday,567
2025-06-12,breakfast,cloudy,regular,thursday,266
2025-06-12,lunch,cloudy,regular,thursday,431
2025-06-12,snacks,cloudy,regular,thursday,187
2025-06-12,dinner,cloudy,regular,thursday,569
2025-06-13,breakfast,cloudy,regular,friday,231
2025-06-13,lunch,cloudy,regular,friday,421
2025-06-13,snacks,cloudy,regular,friday,178
2025-06-13,dinner,cloudy,regular,friday,632
2025-06-14,breakfast,rainy,regular,saturday,190
2025-06-14,lunch,rainy,regular,saturday,279
2025-06-14,snacks,rainy,regular,saturday,126
2025-06-14,dinner,rainy,regular,saturday,409
2025-06-15,breakfast,stormy,weekend,sunday,100
2025-06-15,lunch,stormy,weekend,sunday,195
2025-06-15,snacks,stormy,weekend,sunday,65
2025-06-15,dinner,stormy,weekend,sunday,272
2025-06-16,breakfast,rainy,regular,monday,246
2025-06-16,lunch,rainy,regular,monday,439
2025-06-16,snacks,rainy,regular,monday,155
2025-06-16,dinner,rainy,regular,monday,628
2025-06-17,breakfast,cloudy,regular,tuesday,286
2025-06-17,lunch,cloudy,regular,tuesday,467
2025-06-17,snacks,cloudy,regular,tuesday,188
2025-06-17,dinner,cloudy,regular,tuesday,736
2025-06-18,breakfast,cloudy,regular,wednesday,260
2025-06-18,lunch,cloudy,regular,wednesday,503
2025-06-18,snacks,cloudy,regular,wednesday,184
2025-06-18,dinner,cloudy,regular,wednesday,663
2025-06-19,breakfast,cloudy,regular,thursday,291
2025-06-19,lunch,cloudy,regular,thursday,419
2025-06-19,snacks,cloudy,regular,thursday,197
2025-06-19,dinner,cloudy,regular,thursday,716
2025-06-20,breakfast,cloudy,regular,friday,266
2025-06-20,lunch,cloudy,regular,friday,514
2025-06-20,snacks,cloudy,regular,friday,199
2025-06-20,dinner,cloudy,regular,friday,612
2025-06-21,breakfast,cloudy,weekend,saturday,212
2025-06-21,lunch,cloudy,weekend,saturday,273
2025-06-21,snacks,cloudy,weekend,saturday,135
2025-06-21,dinner,cloudy,weekend,saturday,492
2025-06-22,breakfast,cloudy,weekend,sunday,181
2025-06-22,lunch,cloudy,weekend,sunday,320
2025-06-22,snacks,cloudy,weekend,sunday,123
2025-06-22,dinner,cloudy,weekend,sunday,386
2025-06-23,breakfast,cloudy,regular,monday,303
